season,week,team,off_epa_per_play,success_rate,pass_rate,avg_air_yards,yards_per_play,total_plays
2010,1,ARI,-0.12305744737386703,0.359375,0.6875,10.219511985778809,5.90625,64
2010,1,ATL,-0.1051827073097229,0.4507042169570923,0.6478873491287231,8.386363983154297,4.1549296379089355,71
2010,1,BAL,-0.2605768144130707,0.3513513505458832,0.5405405163764954,10.526315689086914,3.824324369430542,74
2010,1,BUF,-0.22379092872142792,0.31481480598449707,0.7222222089767456,6.470588207244873,3.0740740299224854,54
2010,1,CAR,-0.36955028772354126,0.2698412835597992,0.6507936716079712,7.714285850524902,3.761904716491699,63
2010,1,CHI,-0.17228682339191437,0.44285714626312256,0.6285714507102966,9.199999809265137,6.628571510314941,70
2010,1,CIN,0.04462786018848419,0.5,0.6842105388641357,7.820000171661377,5.6315789222717285,76
2010,1,CLE,-0.20742198824882507,0.3499999940395355,0.6166666746139526,9.810811042785645,5.666666507720947,60
2010,1,DAL,0.0023294989950954914,0.43661972880363464,0.6901408433914185,8.083333015441895,5.352112770080566,71
2010,1,DEN,0.06838955730199814,0.39344263076782227,0.6229507923126221,9.545454978942871,5.950819492340088,61
2010,1,DET,-0.3007512390613556,0.3214285671710968,0.625,8.606060981750488,3.0,56
2010,1,GB,0.031772010028362274,0.4444444477558136,0.5555555820465088,10.699999809265137,4.7936506271362305,63
2010,1,HOU,0.2092221975326538,0.6034482717514038,0.32758620381355286,9.0,6.1724138259887695,58
2010,1,IND,0.1901538074016571,0.5072463750839233,0.8550724387168884,7.964912414550781,6.710144996643066,69
2010,1,JAX,0.1325502097606659,0.3962264060974121,0.4528301954269409,7.666666507720947,5.698113441467285,53
2010,1,KC,-0.20900225639343262,0.25531914830207825,0.4680851101875305,9.0,4.212766170501709,47
2010,1,LA,-0.20055997371673584,0.3580246865749359,0.6913580298423767,6.854545593261719,4.012345790863037,81
2010,1,LAC,-0.03375877067446709,0.36231884360313416,0.6086956262588501,8.461538314819336,5.65217399597168,69
2010,1,LV,-0.11201439052820206,0.39393940567970276,0.6818181872367859,6.1052632331848145,4.348484992980957,66
2010,1,MIA,-0.0004335870617069304,0.42465752363204956,0.5205479264259338,6.441176414489746,4.0547943115234375,73
2010,1,MIN,-0.12106657773256302,0.4313725531101227,0.5490196347236633,10.370369911193848,4.960784435272217,51
2010,1,NE,0.26171427965164185,0.48275861144065857,0.6034482717514038,7.342857360839844,6.482758522033691,58
2010,1,NO,0.03617507964372635,0.4576271176338196,0.6271186470985413,6.583333492279053,5.271186351776123,59
2010,1,NYG,-0.010300848633050919,0.4375,0.484375,10.0,5.921875,64
2010,1,NYJ,-0.38668912649154663,0.3255814015865326,0.5581395626068115,6.142857074737549,4.116279125213623,43
2010,1,PHI,-0.002791200065985322,0.4333333373069763,0.7333333492279053,7.058823585510254,5.349999904632568,60
2010,1,PIT,-0.028286758810281754,0.36666667461395264,0.5166666507720947,8.038461685180664,5.900000095367432,60
2010,1,SEA,0.018616393208503723,0.3404255211353302,0.5531914830207825,5.73913049697876,5.1489362716674805,47
2010,1,SF,-0.3102869391441345,0.3636363744735718,0.7121211886405945,8.288888931274414,3.9848484992980957,66
2010,1,TB,-0.23167836666107178,0.32786884903907776,0.5409836173057556,12.25,4.721311569213867,61
2010,1,TEN,0.16890524327754974,0.3888888955116272,0.37037035822868347,6.176470756530762,6.462963104248047,54
2010,1,WAS,-0.17048119008541107,0.2857142984867096,0.6071428656578064,8.09375,4.464285850524902,56
2010,2,ARI,-0.3119599521160126,0.3125,0.7291666865348816,10.969696998596191,5.5625,48
2010,2,ATL,0.24675779044628143,0.47297295928001404,0.47297295928001404,6.90625,6.094594478607178,74
2010,2,BAL,-0.28221333026885986,0.32258063554763794,0.6774193644523621,10.871794700622559,4.193548202514648,62
2010,2,BUF,-0.3149215281009674,0.3333333432674408,0.40740740299224854,1.5555555820465088,3.444444417953491,54
2010,2,CAR,-0.2140989750623703,0.3030303120613098,0.5,8.103447914123535,4.21212100982666,66
2010,2,CHI,0.1310478150844574,0.3913043439388275,0.6521739363670349,9.103447914123535,6.76086950302124,46
2010,2,CIN,-0.14184261858463287,0.3384615480899811,0.5692307949066162,8.971428871154785,3.923076868057251,65
2010,2,CLE,-0.229556143283844,0.2931034564971924,0.568965494632721,11.806451797485352,5.155172348022461,58
2010,2,DAL,-0.0460611954331398,0.4714285731315613,0.7285714149475098,6.901960849761963,5.871428489685059,70
2010,2,DEN,0.2175685465335846,0.4225352108478546,0.5070422291755676,7.314285755157471,5.267605781555176,71
2010,2,DET,0.06237979605793953,0.42465752363204956,0.6712328791618347,7.800000190734863,6.123287677764893,73
2010,2,GB,0.27168792486190796,0.42592594027519226,0.5370370149612427,9.655172348022461,6.44444465637207,54
2010,2,HOU,0.23896647989749908,0.5061728358268738,0.7037037014961243,9.057692527770996,6.4938273429870605,81
2010,2,IND,0.14882074296474457,0.5074626803398132,0.4029850661754608,7.961538314819336,6.16417932510376,67
2010,2,JAX,-0.23472286760807037,0.47058823704719543,0.6617646813392639,10.357142448425293,5.147058963775635,68
2010,2,KC,-0.08544420450925827,0.3636363744735718,0.469696968793869,6.6785712242126465,4.757575988769531,66
2010,2,LA,-0.05956684425473213,0.30612245202064514,0.5714285969734192,6.599999904632568,4.285714149475098,49
2010,2,LAC,0.2544163167476654,0.4833333194255829,0.5,7.620689868927002,7.949999809265137,60
2010,2,LV,0.01787426695227623,0.43421053886413574,0.5394737124443054,11.567567825317383,5.3815789222717285,76
