season,week,team,off_epa_per_play,success_rate,pass_rate,avg_air_yards,total_plays
2022,3,PIT,-0.0368,0.4909,0.6,12.25,55
2022,3,SEA,0.1924,0.5652,0.6667,9.3636,69
2022,3,SF,-0.3028,0.4038,0.6346,8.3448,52
2022,3,TB,-0.2039,0.4068,0.7797,5.619,59
2022,3,TEN,0.187,0.5094,0.5283,7.1111,53
2022,3,WAS,-0.3103,0.36,0.7067,7.8837,75
2022,4,ARI,-0.0613,0.4559,0.5,5.625,68
2022,4,ATL,0.0367,0.4615,0.3846,12.7368,52
2022,4,BAL,-0.041,0.4762,0.4921,4.5862,63
2022,4,BUF,0.0252,0.5,0.6167,7.4444,60
2022,4,CAR,-0.4703,0.3654,0.75,5.9444,52
2022,4,CHI,-0.0894,0.3167,0.4667,9.9091,60
2022,4,CIN,0.1139,0.4333,0.55,10.1562,60
2022,4,CLE,0.0524,0.4507,0.507,8.0286,71
2022,4,DAL,-0.1832,0.3333,0.4912,7.963,57
2022,4,DEN,-0.1911,0.3125,0.5833,11.36,48
2022,4,DET,0.2654,0.4412,0.6176,9.825,68
2022,4,GB,0.0119,0.4648,0.507,10.2,71
2022,4,HOU,-0.0678,0.3208,0.7358,7.3143,53
2022,4,IND,-0.0804,0.3651,0.6349,6.3784,63
2022,4,JAX,-0.3308,0.413,0.587,7.9565,46
2022,4,KC,0.2499,0.5455,0.5195,7.0811,77
2022,4,LA,-0.2196,0.4247,0.7534,5.2708,73
2022,4,LAC,0.2499,0.4286,0.6349,7.5385,63
2022,4,LV,0.0383,0.4583,0.5,8.1765,72
2022,4,MIA,-0.0381,0.4167,0.6333,10.2703,60
2022,4,MIN,-0.0155,0.4179,0.6269,7.4615,67
2022,4,NE,0.0225,0.5345,0.431,5.4762,58
2022,4,NO,0.1761,0.6034,0.5345,11.1071,58
2022,4,NYG,0.071,0.4098,0.2787,9.6875,61
2022,4,NYJ,0.0375,0.3881,0.5672,9,67
2022,4,PHI,-0.0346,0.4533,0.3733,6.24,75
2022,4,PIT,-0.0804,0.4333,0.4833,14.4615,60
2022,4,SEA,0.5991,0.5738,0.4918,10.6667,61
2022,4,SF,0.1959,0.3469,0.551,5.5926,49
2022,4,TB,0.1404,0.5593,0.8983,6.2692,59
2022,4,TEN,0.0424,0.4694,0.4898,4.2857,49
2022,4,WAS,-0.2655,0.2958,0.6197,7.0714,71
2022,5,ARI,0.1011,0.4776,0.6119,7.325,67
2022,5,ATL,0.0831,0.4194,0.5,9.08,62
2022,5,BAL,-0.0444,0.4667,0.55,9.2188,60
2022,5,BUF,0.4031,0.4902,0.7059,12.5556,51
2022,5,CAR,-0.1747,0.3636,0.7273,8.2619,66
2022,5,CHI,0.0107,0.375,0.5,8.2381,48
2022,5,CIN,-0.0655,0.4576,0.6441,3.4286,59
2022,5,CLE,0.1754,0.4923,0.5231,9.1765,65
2022,5,DAL,-0.119,0.3725,0.3725,7.3125,51
2022,5,DEN,-0.2108,0.4058,0.6232,9.3846,69
2022,5,DET,-0.4364,0.381,0.5873,8.2857,63
2022,5,GB,0.0651,0.5082,0.6721,7.4615,61
2022,5,HOU,-0.0629,0.4,0.4545,5.5,55
2022,5,IND,-0.2038,0.375,0.6389,6.5,72
2022,5,JAX,-0.1105,0.4167,0.6389,9.9348,72
2022,5,KC,0.2041,0.5072,0.6812,6.3721,69
2022,5,LA,-0.2723,0.3438,0.7656,8.0227,64
2022,5,LAC,0.2925,0.4627,0.5224,5.2059,67
2022,5,LV,0.1674,0.4211,0.5614,10.2667,57
2022,5,MIA,-0.2167,0.5,0.5806,6.5588,62
2022,5,MIN,0.2339,0.5833,0.5972,4.3902,72
2022,5,NE,0.0785,0.4259,0.3889,8.7143,54
2022,5,NO,0.0931,0.4571,0.3714,8,70
2022,5,NYG,0.2834,0.5179,0.5,5.1481,56
2022,5,NYJ,0.1364,0.4717,0.434,9.381,53
2022,5,PHI,0.1426,0.6,0.5429,3.8056,70
2022,5,PIT,-0.122,0.4167,0.7639,6.9808,72
2022,5,SEA,-0.0025,0.36,0.58,12,50
2022,5,SF,0.2678,0.4915,0.5424,7.6667,59
2022,5,TB,0.1467,0.5342,0.726,6.9615,73
2022,5,TEN,-0.017,0.4032,0.4839,9.12,62
2022,5,WAS,-0.0459,0.4035,0.7193,9.2368,57
2022,6,ARI,-0.2033,0.3239,0.6056,9,71
2022,6,ATL,0.1223,0.5,0.2857,5.5,56
2022,6,BAL,0.1231,0.4828,0.5862,9.6875,58
2022,6,BUF,0.12,0.4857,0.5857,7.375,70
2022,6,CAR,-0.3517,0.3256,0.5349,0.9048,43
2022,6,CHI,-0.1117,0.4203,0.4638,10.1852,69
2022,6,CIN,0.283,0.5926,0.7593,6.1622,54
2022,6,CLE,-0.2824,0.3088,0.7353,11.7111,68
2022,6,DAL,-0.0644,0.4375,0.5938,8.2895,64
2022,6,DEN,-0.1532,0.3455,0.5818,9.5357,55
2022,6,GB,-0.342,0.4348,0.7101,8.2222,69
2022,6,IND,0.2066,0.4737,0.7763,5.1552,76
2022,6,JAX,0.1979,0.5593,0.4576,3.9545,59
2022,6,KC,0.0472,0.377,0.7049,5.275,61
2022,6,LA,0.0081,0.4426,0.5574,4.4242,61
2022,6,LAC,-0.1605,0.3614,0.7108,5.9123,83
2022,6,MIA,-0.1285,0.4189,0.7297,8.7234,74
2022,6,MIN,-0.1088,0.3673,0.6939,5.5667,49
2022,6,NE,0.1663,0.3871,0.5806,5.0588,62
2022,6,NO,0.1086,0.4648,0.5211,8.1111,71
2022,6,NYG,0.1271,0.4746,0.5254,6.6296,59
2022,6,NYJ,0.0296,0.4,0.4,6.1667,50
2022,6,PHI,0.0157,0.4478,0.4328,5.32,67
2022,6,PIT,0.03,0.4237,0.5424,6.2333,59
2022,6,SEA,-0.1906,0.4091,0.5455,6.871,66
2022,6,SF,-0.1207,0.5263,0.7193,7.5366,57
2022,6,TB,0.0715,0.5,0.6176,7.7436,68
2022,6,WAS,-0.1084,0.3889,0.4815,6.2273,54
2022,7,ARI,0.1433,0.459,0.5246,7.4483,61
2022,7,ATL,0.0148,0.3778,0.3556,8.3846,45
2022,7,BAL,-0.0722,0.4355,0.3065,5.3125,62
2022,7,CAR,0.1357,0.38,0.46,8.5,50
2022,7,CHI,0.1376,0.5362,0.3623,9.7619,69
2022,7,CIN,0.4213,0.5692,0.6923,8.6429,65
2022,7,CLE,0.0763,0.4821,0.5714,6.5926,56
2022,7,DAL,0.0271,0.5263,0.4737,10.8,57
2022,7,DEN,-0.164,0.3333,0.6267,10.5652,75
2022,7,DET,-0.2881,0.4821,0.5536,6,56
2022,7,GB,-0.0967,0.3913,0.7391,5.5588,46
2022,7,HOU,0.0575,0.4615,0.6462,5.4146,65
2022,7,IND,-0.216,0.4844,0.7344,4.0227,64
2022,7,JAX,0.1396,0.4545,0.6667,10.7727,66
2022,7,KC,0.6039,0.5818,0.6727,7.25,55
2022,7,LAC,-0.2437,0.3623,0.7826,6.2941,69
2022,7,LV,0.3242,0.5849,0.5283,7.2963,53
2022,7,MIA,-0.0325,0.4262,0.5738,9.8571,61
2022,7,NE,-0.2478,0.4043,0.617,8.7143,47
2022,7,NO,0.0313,0.5429,0.7,7.9184,70
2022,7,NYG,0.1696,0.5286,0.4429,6.9333,70
2022,7,NYJ,-0.1398,0.3269,0.5577,4.7308,52
2022,7,PIT,-0.0968,0.4118,0.6618,7,68
2022,7,SEA,0.128,0.4426,0.4754,7.6296,61
2022,7,SF,0.0544,0.4789,0.7183,7.413,71
2022,7,TB,-0.1548,0.3788,0.7576,7.3265,66
2022,7,TEN,-0.1178,0.3818,0.4,7.2,55
2022,7,WAS,-0.0582,0.3472,0.4722,5.8788,72
2022,8,ARI,-0.0712,0.4429,0.6857,6.6977,70
2022,8,ATL,0.035,0.4545,0.4545,10.8929,66
2022,8,BAL,0.1427,0.5211,0.5634,5.9189,71
2022,8,BUF,0.1241,0.5094,0.5094,12.84,53
2022,8,CAR,0.0921,0.4459,0.5,11.75,74
2022,8,CHI,0.008,0.411,0.411,8.5,73
2022,8,CIN,-0.1749,0.44,0.8,5.7143,50
2022,8,CLE,0.2103,0.5672,0.3582,10.2273,67
2022,8,DAL,0.4467,0.5636,0.5091,6.9259,55
