season,week,team,off_epa_per_play,success_rate,pass_rate,avg_air_yards,total_plays
2018,3,PIT,0.1514,0.4333,0.6833,7.0263,60
2018,3,SEA,0.0153,0.3333,0.4242,9.2692,66
2018,3,SF,0.2453,0.5625,0.5469,9.0667,64
2018,3,TB,-0.0059,0.3824,0.7794,11.12,68
2018,3,TEN,-0.1325,0.3898,0.4068,4.2381,59
2018,3,WAS,0.1327,0.3962,0.3774,10.1,53
2018,4,ARI,-0.1168,0.3929,0.5,9.0741,56
2018,4,ATL,0.2337,0.4925,0.6418,11.0256,67
2018,4,BAL,0.1005,0.4861,0.6111,9.2143,72
2018,4,BUF,-0.4283,0.3036,0.7143,9.303,56
2018,4,CHI,0.4614,0.625,0.4821,10.3846,56
2018,4,CIN,0.2595,0.5147,0.6618,6.9512,68
2018,4,CLE,0.008,0.3947,0.5789,9.5122,76
2018,4,DAL,0.2101,0.5625,0.4688,9.6667,64
2018,4,DEN,0.04,0.4746,0.6271,8.5455,59
2018,4,DET,0.3034,0.434,0.6226,7.5667,53
2018,4,GB,-0.0248,0.5,0.5676,10.575,74
2018,4,HOU,0.0821,0.4756,0.5732,8.55,82
2018,4,IND,-0.0226,0.4471,0.8,8.4355,85
2018,4,JAX,0.0344,0.44,0.5467,5.0526,75
2018,4,KC,0.2509,0.5352,0.6479,7.9333,71
2018,4,LA,0.481,0.5556,0.6481,9.0588,54
2018,4,LAC,-0.0035,0.4615,0.6308,6.6923,65
2018,4,LV,-0.0021,0.4382,0.6854,8.3158,89
2018,4,MIA,-0.4105,0.2444,0.6,10.36,45
2018,4,MIN,0.1931,0.4861,0.7639,6.2,72
2018,4,NE,0.1479,0.4306,0.4861,7.9714,72
2018,4,NO,0.234,0.4375,0.5469,7.5,64
2018,4,NYG,-0.0136,0.4915,0.7627,6.0976,59
2018,4,NYJ,-0.2328,0.2692,0.7308,10.1176,52
2018,4,PHI,0.0326,0.4474,0.7105,7.5,76
2018,4,PIT,-0.2187,0.3898,0.8305,7.0638,59
2018,4,SEA,0.029,0.4918,0.4426,5.44,61
2018,4,SF,-0.0696,0.4407,0.6441,5.5405,59
2018,4,TB,-0.123,0.4,0.7,9.6053,60
2018,4,TEN,0.0833,0.4478,0.6866,9.5814,67
2018,5,ARI,-0.1375,0.3556,0.5556,11.5417,45
2018,5,ATL,-0.0746,0.3857,0.7286,7.9778,70
2018,5,BAL,-0.1758,0.3929,0.7024,8.0526,84
2018,5,BUF,-0.1692,0.4062,0.3281,7.65,64
2018,5,CAR,-0.1152,0.4154,0.5385,9.2059,65
2018,5,CIN,-0.0681,0.3509,0.5614,8.2667,57
2018,5,CLE,-0.0899,0.4133,0.6267,9.7381,75
2018,5,DAL,-0.149,0.3898,0.5254,7.6207,59
2018,5,DEN,-0.0424,0.4521,0.7671,6.4706,73
2018,5,DET,0.0681,0.3214,0.5179,9,56
2018,5,GB,0.1922,0.4935,0.7532,8.7692,77
2018,5,HOU,-0.1339,0.4605,0.5921,6.5909,76
2018,5,IND,-0.0094,0.4198,0.7407,7.9661,81
2018,5,JAX,-0.1542,0.4699,0.7952,10.6066,83
2018,5,KC,0.081,0.403,0.5821,9.3684,67
2018,5,LA,0.2146,0.5246,0.541,8.4688,61
2018,5,LAC,0.3089,0.4643,0.5,6.8519,56
2018,5,LV,-0.0935,0.4681,0.7234,7.3548,47
2018,5,MIA,-0.2131,0.4746,0.6271,5.9412,59
2018,5,MIN,0.0691,0.5254,0.6441,5.8649,59
2018,5,NE,0.2084,0.5692,0.6769,6.4773,65
2018,5,NO,0.3652,0.55,0.5167,5.5172,60
2018,5,NYG,0.082,0.4182,0.7091,10.8108,55
2018,5,NYJ,0.1622,0.4,0.3833,8.9545,60
2018,5,PHI,-0.0816,0.5091,0.6727,9.0294,55
2018,5,PIT,0.2722,0.5088,0.5088,8.069,57
2018,5,SEA,0.2443,0.4545,0.4182,11.4286,55
2018,5,SF,-0.1722,0.4526,0.6316,4.8148,95
2018,5,TEN,-0.2692,0.3962,0.5283,6.9231,53
2018,5,WAS,-0.1523,0.4098,0.7049,9.1026,61
2018,6,ARI,-0.4079,0.3636,0.6364,6.7419,55
2018,6,ATL,0.231,0.5,0.6562,9.6341,64
2018,6,BAL,0.174,0.4085,0.5211,9.2703,71
2018,6,BUF,-0.261,0.2759,0.5345,7.7241,58
2018,6,CAR,0.0639,0.5254,0.7119,7.65,59
2018,6,CHI,0.1063,0.5238,0.5238,10.9355,63
2018,6,CIN,0.0785,0.5,0.7759,9.6667,58
2018,6,CLE,-0.3323,0.3288,0.7123,9.7826,73
2018,6,DAL,0.0984,0.4028,0.4167,9.037,72
2018,6,DEN,-0.0071,0.4407,0.7288,8.6585,59
2018,6,GB,0.122,0.4348,0.6957,8.4222,69
2018,6,HOU,-0.404,0.3036,0.5893,8.1923,56
2018,6,IND,-0.0871,0.5,0.6515,9.2093,66
2018,6,JAX,-0.4567,0.3617,0.617,8.5,47
2018,6,KC,0.2212,0.4906,0.6792,8.8611,53
2018,6,LA,0.1769,0.5286,0.4714,8.2143,70
2018,6,LAC,0.2513,0.5536,0.3929,11.1905,56
2018,6,LV,-0.275,0.4107,0.6607,2.9355,56
2018,6,MIA,0.0791,0.48,0.5867,6.814,75
2018,6,MIN,-0.139,0.4118,0.5441,4.8485,68
2018,6,NE,0.1361,0.5135,0.5,9.2286,74
2018,6,NYG,-0.1518,0.3281,0.7344,6.3953,64
2018,6,NYJ,0.0215,0.4375,0.4844,7.2414,64
2018,6,PHI,0.2321,0.4412,0.5441,6.5,68
2018,6,PIT,0.3231,0.4776,0.7015,8.7174,67
2018,6,SEA,0.2454,0.4576,0.4068,9.7391,59
2018,6,SF,0.2118,0.5455,0.4545,7.8696,55
2018,6,TB,0.2363,0.5238,0.6825,11.425,63
2018,6,TEN,-0.3635,0.225,0.65,11.6667,40
2018,6,WAS,-0.0367,0.4242,0.5909,7.4286,66
2018,7,ARI,-0.6443,0.3788,0.6818,7.4359,66
2018,7,ATL,0.1465,0.4426,0.6885,7.8205,61
2018,7,BAL,0.1324,0.4688,0.6406,8.425,64
2018,7,BUF,-0.4943,0.4,0.6,6.7097,55
2018,7,CAR,0.2525,0.5345,0.7241,7.2308,58
2018,7,CHI,-0.0021,0.4211,0.6711,11.5714,76
2018,7,CIN,-0.3009,0.3519,0.6481,8.4545,54
2018,7,CLE,-0.1311,0.4032,0.629,8.5,62
2018,7,DAL,-0.0564,0.4262,0.6393,10.3143,61
2018,7,DEN,0.0496,0.3846,0.4615,8.8636,52
2018,7,DET,0.3665,0.4912,0.4035,6.3636,57
2018,7,HOU,-0.0038,0.35,0.4167,9.2083,60
2018,7,IND,0.2728,0.5614,0.4035,4.913,57
2018,7,JAX,-0.2618,0.4265,0.6765,5.8333,68
2018,7,KC,0.3814,0.5714,0.5857,8.6154,70
2018,7,LA,0.1436,0.5517,0.431,9.3333,58
2018,7,LAC,0.315,0.4884,0.6512,8.4231,43
2018,7,MIA,0.1548,0.4074,0.6481,9.9677,54
2018,7,MIN,-0.0065,0.3281,0.6406,10.35,64
2018,7,NE,0.1346,0.5156,0.5781,6.5278,64
2018,7,NO,0.1636,0.5072,0.4493,6.7,69
2018,7,NYG,0.1379,0.4219,0.6719,7.2895,64
2018,7,NYJ,-0.4664,0.2899,0.6522,11.6667,69
2018,7,PHI,0.1016,0.4154,0.6308,8.1081,65
2018,7,SF,-0.4856,0.3966,0.5862,8.4815,58
2018,7,TB,-0.1098,0.4598,0.6437,10.5,87
2018,7,TEN,0.1572,0.5441,0.5147,4.6562,68
2018,7,WAS,-0.0586,0.3621,0.4483,11.2,58
2018,8,ARI,-0.1002,0.3692,0.6769,7.2,65
2018,8,BAL,0.0341,0.5,0.7188,9.5227,64
2018,8,BUF,-0.368,0.3387,0.7097,10.122,62
2018,8,CAR,0.2228,0.4839,0.5,6.6333,62
2018,8,CHI,0.1678,0.4308,0.4769,9.1724,65
2018,8,CIN,0.0882,0.459,0.5738,9.3636,61
2018,8,CLE,-0.1407,0.35,0.65,7.8611,60
2018,8,DEN,0.0503,0.5143,0.5571,8.5,70
2018,8,DET,-0.0218,0.4464,0.7679,7.225,56
2018,8,GB,0.1462,0.4423,0.6346,8.5667,52
